text,label,category
"Hi,

I cannot download my purchased image. Please help resolve this issue as soon as possible.

Sincerely",Relevant,Download
"Hello,

Downloaded file is corrupted. Please help resolve this issue as soon as possible.

Regards",Relevant,Download
"Greetings,

I cannot download my purchased image. Please help resolve this issue as soon as possible.

Thanks",Relevant,Download
"Good day,

Image download is very slow. Please help resolve this issue as soon as possible.

Thanks",Relevant,Download
"Hi,

I cannot download my purchased image. Please help resolve this issue as soon as possible.

Regards",Relevant,Download
"Greetings,

Downloaded file is corrupted. Please help resolve this issue as soon as possible.

Best regards",Relevant,Download
"Greetings,

I cannot download my purchased image. Please help resolve this issue as soon as possible.

Regards",Relevant,Download
"Good day,

Image download is very slow. Please help resolve this issue as soon as possible.

Regards",Relevant,Download
"Greetings,

My download keeps failing. Please help resolve this issue as soon as possible.

Sincerely",Relevant,Download
"Hello,

I cannot download my purchased image. Please help resolve this issue as soon as possible.

Thank you",Relevant,Download
"Dear Team,

Download link expired. Please help resolve this issue as soon as possible.

Regards",Relevant,Download
"Dear Team,

Downloaded file is corrupted. Please help resolve this issue as soon as possible.

Thanks",Relevant,Download
"Good day,

I cannot download my purchased image. Please help resolve this issue as soon as possible.

Thanks",Relevant,Download
"Dear Team,

Download link expired. Please help resolve this issue as soon as possible.

Best regards",Relevant,Download
"Hi,

Download link expired. Please help resolve this issue as soon as possible.

Thank you",Relevant,Download
"Hi,

Image download is very slow. Please help resolve this issue as soon as possible.

Thank you",Relevant,Download
"Greetings,

I cannot download my purchased image. Please help resolve this issue as soon as possible.

Sincerely",Relevant,Download
"Dear Team,

Image download is very slow. Please help resolve this issue as soon as possible.

Best regards",Relevant,Download
"Hi,

Downloaded file is corrupted. Please help resolve this issue as soon as possible.

Thanks",Relevant,Download
"Dear Team,

Downloaded file is corrupted. Please help resolve this issue as soon as possible.

Thanks",Relevant,Download
"Hi,

Downloaded file is corrupted. Please help resolve this issue as soon as possible.

Thank you",Relevant,Download
"Good day,

Download link expired. Please help resolve this issue as soon as possible.

Sincerely",Relevant,Download
"Dear Team,

Downloaded file is corrupted. Please help resolve this issue as soon as possible.

Sincerely",Relevant,Download
"Dear Team,

Downloaded file is corrupted. Please help resolve this issue as soon as possible.

Thanks",Relevant,Download
"Hello,

Image download is very slow. Please help resolve this issue as soon as possible.

Best regards",Relevant,Download
"Hello,

Downloaded file is corrupted. Please help resolve this issue as soon as possible.

Thank you",Relevant,Download
"Dear Team,

My download keeps failing. Please help resolve this issue as soon as possible.

Best regards",Relevant,Download
"Dear Team,

Downloaded file is corrupted. Please help resolve this issue as soon as possible.

Thanks",Relevant,Download
"Hi,

Downloaded file is corrupted. Please help resolve this issue as soon as possible.

Sincerely",Relevant,Download
"Dear Team,

My download keeps failing. Please help resolve this issue as soon as possible.

Thanks",Relevant,Download
"Greetings,

Downloaded file is corrupted. Please help resolve this issue as soon as possible.

Sincerely",Relevant,Download
"Good day,

Downloaded file is corrupted. Please help resolve this issue as soon as possible.

Thank you",Relevant,Download
"Hello,

My download keeps failing. Please help resolve this issue as soon as possible.

Sincerely",Relevant,Download
"Hello,

Downloaded file is corrupted. Please help resolve this issue as soon as possible.

Best regards",Relevant,Download
"Dear Team,

Image download is very slow. Please help resolve this issue as soon as possible.

Best regards",Relevant,Download
"Greetings,

My download keeps failing. Please help resolve this issue as soon as possible.

Thank you",Relevant,Download
"Hello,

Download link expired. Please help resolve this issue as soon as possible.

Regards",Relevant,Download
"Good day,

Image download is very slow. Please help resolve this issue as soon as possible.

Thanks",Relevant,Download
"Hi,

I cannot download my purchased image. Please help resolve this issue as soon as possible.

Regards",Relevant,Download
"Good day,

Downloaded file is corrupted. Please help resolve this issue as soon as possible.

Best regards",Relevant,Download
"Good day,

I cannot download my purchased image. Please help resolve this issue as soon as possible.

Thank you",Relevant,Download
"Good day,

Image download is very slow. Please help resolve this issue as soon as possible.

Best regards",Relevant,Download
"Greetings,

Card declined but money deducted. Please help resolve this issue as soon as possible.

Thanks",Relevant,Payment
"Greetings,

Payment failed. Please help resolve this issue as soon as possible.

Sincerely",Relevant,Payment
"Hi,

Card declined but money deducted. Please help resolve this issue as soon as possible.

Sincerely",Relevant,Payment
"Hello,

Need payment receipt. Please help resolve this issue as soon as possible.

Thank you",Relevant,Payment
"Dear Team,

Payment failed. Please help resolve this issue as soon as possible.

Best regards",Relevant,Payment
"Greetings,

I was charged twice. Please help resolve this issue as soon as possible.

Thanks",Relevant,Payment
"Greetings,

Card declined but money deducted. Please help resolve this issue as soon as possible.

Best regards",Relevant,Payment
"Hello,

I was charged twice. Please help resolve this issue as soon as possible.

Sincerely",Relevant,Payment
"Greetings,

I was charged twice. Please help resolve this issue as soon as possible.

Best regards",Relevant,Payment
"Greetings,

Payment failed. Please help resolve this issue as soon as possible.

Sincerely",Relevant,Payment
"Hi,

Need payment receipt. Please help resolve this issue as soon as possible.

Thanks",Relevant,Payment
"Dear Team,

Card declined but money deducted. Please help resolve this issue as soon as possible.

Regards",Relevant,Payment
"Hello,

Payment failed. Please help resolve this issue as soon as possible.

Best regards",Relevant,Payment
"Hi,

Payment failed. Please help resolve this issue as soon as possible.

Thank you",Relevant,Payment
"Greetings,

Payment failed. Please help resolve this issue as soon as possible.

Regards",Relevant,Payment
"Good day,

I was charged twice. Please help resolve this issue as soon as possible.

Best regards",Relevant,Payment
"Dear Team,

I was charged twice. Please help resolve this issue as soon as possible.

Best regards",Relevant,Payment
"Good day,

Invoice missing. Please help resolve this issue as soon as possible.

Regards",Relevant,Payment
"Hello,

Invoice missing. Please help resolve this issue as soon as possible.

Sincerely",Relevant,Payment
"Dear Team,

Need payment receipt. Please help resolve this issue as soon as possible.

Thank you",Relevant,Payment
"Good day,

Invoice missing. Please help resolve this issue as soon as possible.

Thanks",Relevant,Payment
"Hello,

I was charged twice. Please help resolve this issue as soon as possible.

Thanks",Relevant,Payment
"Hi,

Card declined but money deducted. Please help resolve this issue as soon as possible.

Best regards",Relevant,Payment
"Hello,

Invoice missing. Please help resolve this issue as soon as possible.

Best regards",Relevant,Payment
"Hi,

I was charged twice. Please help resolve this issue as soon as possible.

Thanks",Relevant,Payment
"Hello,

Payment failed. Please help resolve this issue as soon as possible.

Thanks",Relevant,Payment
"Dear Team,

Payment failed. Please help resolve this issue as soon as possible.

Thanks",Relevant,Payment
"Hello,

Invoice missing. Please help resolve this issue as soon as possible.

Sincerely",Relevant,Payment
"Hello,

Need payment receipt. Please help resolve this issue as soon as possible.

Best regards",Relevant,Payment
"Greetings,

I was charged twice. Please help resolve this issue as soon as possible.

Best regards",Relevant,Payment
"Hello,

Need payment receipt. Please help resolve this issue as soon as possible.

Thank you",Relevant,Payment
"Hello,

Need payment receipt. Please help resolve this issue as soon as possible.

Thanks",Relevant,Payment
"Good day,

Payment failed. Please help resolve this issue as soon as possible.

Sincerely",Relevant,Payment
"Good day,

Need payment receipt. Please help resolve this issue as soon as possible.

Thank you",Relevant,Payment
"Hi,

Payment failed. Please help resolve this issue as soon as possible.

Thanks",Relevant,Payment
"Dear Team,

Need payment receipt. Please help resolve this issue as soon as possible.

Thanks",Relevant,Payment
"Hello,

I was charged twice. Please help resolve this issue as soon as possible.

Regards",Relevant,Payment
